fact_key,accm_txn_complete_time
1,5/31/2022 12:17
2,5/28/2022 16:41
3,5/29/2022 13:02
4,5/29/2022 9:00
5,5/30/2022 8:47
6,5/28/2022 11:56
7,5/29/2022 11:49
8,5/28/2022 11:02
9,5/29/2022 12:59
10,5/30/2022 9:50
11,5/31/2022 15:33
12,5/31/2022 14:07
13,6/1/2022 15:18
14,5/29/2022 9:33
15,5/28/2022 16:48
16,5/31/2022 12:01
17,5/28/2022 15:01
18,6/1/2022 8:32
19,5/31/2022 12:06
20,5/30/2022 9:19
21,5/31/2022 11:16
22,5/31/2022 12:08
23,5/28/2022 11:39
24,5/28/2022 11:45
25,5/28/2022 8:26
26,6/1/2022 16:22
27,5/28/2022 16:38
28,5/28/2022 9:00
29,5/29/2022 14:31
30,6/1/2022 10:00
31,5/30/2022 10:40
32,6/1/2022 8:44
33,5/28/2022 16:41
34,6/1/2022 13:14
35,5/31/2022 14:50
36,5/30/2022 14:47
37,5/29/2022 10:00
38,6/1/2022 11:08
39,5/28/2022 15:44
40,5/28/2022 9:25
41,5/29/2022 10:27
42,5/30/2022 12:28
43,5/28/2022 16:38
44,5/28/2022 12:24
45,5/29/2022 11:32
46,5/28/2022 16:41
47,5/29/2022 8:14
48,5/29/2022 8:52
49,5/29/2022 8:11
50,5/29/2022 9:55
51,5/28/2022 16:26
52,5/31/2022 16:07
53,5/28/2022 10:38
54,5/28/2022 16:44
55,5/29/2022 8:21
56,5/29/2022 16:45
57,5/28/2022 15:16
58,5/29/2022 11:15
59,5/30/2022 13:05
60,6/1/2022 8:13
61,5/29/2022 15:59
62,5/30/2022 8:25
63,5/28/2022 13:22
64,5/30/2022 12:06
65,5/30/2022 16:48
66,6/1/2022 8:00
67,5/29/2022 10:36
68,5/29/2022 14:05
69,5/30/2022 16:44
70,5/31/2022 8:44
71,5/30/2022 12:41
72,6/1/2022 15:57
73,5/31/2022 9:23
74,6/1/2022 13:31
75,5/31/2022 16:25
76,5/30/2022 12:42
