order_id,Order Date,Delivered Date,order Time Hour,Order Date Minute,Delivered Time Hour,Delivered Date Minute
85579237,3/8/2021,3/12/2021,16,22,5,53
86862263,9/5/2020,9/7/2020,9,11,22,30
77332755,7/12/2020,7/16/2020,15,0,7,51
76366587,6/30/2021,7/4/2021,10,36,2,1
85895389,4/5/2019,4/7/2019,10,12,18,12
69608797,2/13/2021,2/15/2021,12,29,3,55
77213999,2/26/2020,2/28/2020,12,57,21,11
69221048,6/19/2019,6/21/2019,11,3,3,16
91928117,11/1/2020,11/5/2020,13,12,1,21
72717700,10/19/2019,10/21/2019,8,23,0,54
79787601,1/19/2020,1/24/2020,16,10,0,18
86141296,12/21/2021,12/22/2021,10,24,19,3
80628084,4/17/2020,4/19/2020,8,16,22,55
82724465,12/29/2021,1/3/2022,15,27,5,56
81760423,3/12/2021,3/15/2021,10,44,0,5
82429416,1/26/2019,1/28/2019,15,45,2,54
89319506,8/30/2021,8/31/2021,12,59,21,34
93099795,3/13/2020,3/17/2020,9,56,22,30
69580569,4/2/2020,4/6/2020,15,36,5,4
77127250,1/25/2021,1/27/2021,11,13,0,33
82710116,7/7/2019,7/9/2019,12,37,22,24
78033336,12/2/2019,12/3/2019,8,40,23,22
83829697,8/10/2021,8/13/2021,14,47,5,34
82178861,10/12/2020,10/14/2020,16,27,4,58
93095953,7/23/2020,7/27/2020,9,36,21,31
91327474,9/27/2020,9/30/2020,16,4,5,47
89023196,3/2/2021,3/5/2021,16,45,9,7
92300021,3/2/2021,3/7/2021,15,27,5,0
89879758,4/3/2019,4/7/2019,15,57,4,59
87042079,5/11/2021,5/16/2021,13,35,0,46
92161022,6/28/2020,7/3/2020,13,39,4,2
78384051,7/6/2020,7/10/2020,13,9,22,48
77908377,6/2/2021,6/5/2021,11,2,23,32
79961839,9/21/2020,9/24/2020,9,41,23,51
74254238,1/1/2021,1/3/2021,15,56,0,5
88837972,3/9/2019,3/11/2019,13,21,4,27
89708843,7/15/2019,7/19/2019,15,31,6,32
82774359,8/29/2020,9/3/2020,14,56,4,13
83687446,12/11/2019,12/14/2019,8,45,17,55
81911392,4/22/2020,4/23/2020,10,27,20,47
87472988,5/19/2021,5/20/2021,8,28,17,58
72623622,6/26/2020,7/1/2020,13,25,1,59
79941257,9/29/2020,10/1/2020,11,0,22,48
75095186,11/18/2021,11/21/2021,12,27,22,27
81753269,3/12/2020,3/13/2020,8,19,20,33
88414173,1/10/2020,1/14/2020,16,52,5,4
84734896,2/22/2020,2/24/2020,14,5,2,50
82465166,10/1/2019,10/5/2019,16,56,3,55
71344809,2/10/2020,2/14/2020,12,25,21,8
76749530,3/4/2019,3/8/2019,15,52,0,39
78907036,8/20/2021,8/24/2021,14,36,4,12
79743663,6/5/2020,6/8/2020,12,54,3,36
79296185,2/24/2020,2/29/2020,15,34,6,46
87279761,9/30/2019,10/2/2019,10,15,19,38
78875496,9/13/2020,9/15/2020,11,6,20,35
84306035,5/24/2019,5/29/2019,16,4,6,31
89318948,10/19/2020,10/22/2020,11,47,4,16
84692548,9/11/2021,9/16/2021,15,38,6,54
84846629,8/11/2021,8/14/2021,9,58,20,47
87835324,5/28/2019,5/31/2019,8,18,22,17
71949411,10/28/2019,10/29/2019,12,11,20,56
87237619,3/17/2020,3/21/2020,8,13,17,23
