payment_id,payment_order_id,payment_amount,payment_fee,payment_method,payment_status
5064037,85579237,11.01,0.0,VOUCHER,PAID
5135132,86862263,109.8,2.2,ONLINE,PAID
4719488,77332755,30.99,0.46,ONLINE,PAID
4685307,76366587,125.6,3.39,ONLINE,PAID
5081609,85895389,74.3,2.01,ONLINE,PAID
4459910,69608797,32.19,0.48,ONLINE,PAID
4714659,77213999,111.7,3.02,ONLINE,PAID
4450047,69221048,23.9,0.36,ONLINE,PAID
5393495,91928117,69.8,1.05,ONLINE,PAID
4556377,72717700,23.9,0.36,DEBIT,PAID
4805178,79787601,34.9,0.49,ONLINE,PAID
5094415,86141296,42.9,0.64,ONLINE,PAID
4853679,80628084,94.2,1.41,VOUCHER_STORE,PAID
4926663,82724465,20.0,0.0,VOUCHER,PAID
4884496,81760423,201.1,5.43,ONLINE,PAID
4913317,82429416,139.25,3.76,ONLINE,PAID
5270573,89319506,236.8,3.32,ONLINE,PAID
5454271,93099795,20.0,0.3,ONLINE,PAID
4458991,69580569,119.95,3.24,ONLINE,PAID
4712739,77127250,67.8,0.88,ONLINE,PAID
4925500,82710116,28.9,0.43,ONLINE,PAID
4742414,78033336,76.4,1.07,ONLINE,PAID
4979041,83829697,42.0,0.0,VOUCHER,PAID
4901910,82178861,66.7,1.0,ONLINE,PAID
5452782,93095953,31.3,0.47,ONLINE,PAID
5361574,91327474,66.6,1.0,ONLINE,PAID
5256967,89023196,81.8,1.64,ONLINE,PAID
5409680,92300021,75.9,1.06,ONLINE,PAID
5291519,89879758,41.8,0.59,ONLINE,PAID
5146116,87042079,259.2,5.18,ONLINE,PAID
5403835,92161022,103.6,2.8,ONLINE,PAID
4753469,78384051,60.9,0.91,ONLINE,PAID
4737971,77908377,61.8,0.93,ONLINE,PAID
5059241,79961839,86.8,1.22,BANK_TRANSFER_DC,PAID
4606844,74254238,97.2,2.62,ONLINE,PAID
5252376,88837972,5.0,0.0,VOUCHER,PAID
5286829,89708843,78.84,1.18,ONLINE,PAID
4931364,82774359,82.9,1.24,ONLINE,PAID
4974138,83687446,113.86,1.71,ONLINE,PAID
4890121,81911392,127.29,1.91,ONLINE,PAID
5176802,87472988,402.5,8.05,ONLINE,PAID
4552981,72623622,19.8,0.3,ONLINE,PAID
4810218,79941257,30.8,0.46,ONLINE,PAID
4636073,75095186,29.39,0.44,ONLINE,PAID
4884093,81753269,187.1,2.79,ONLINE,PAID
5231040,88414173,36.9,0.55,ONLINE,PAID
5020114,84734896,132.75,1.99,ONLINE,PAID
4915701,82465166,153.2,4.14,ONLINE,PAID
4513298,71344809,161.41,3.23,ONLINE,PAID
4696917,76749530,91.7,2.48,ONLINE,PAID
4772068,78907036,25.9,0.39,ONLINE,PAID
4803482,79743663,30.53,0.46,DEBIT,PAID
4787786,79296185,15.0,0.0,VOUCHER,PAID
5164115,87279761,31.84,0.48,ONLINE,PAID
4770175,78875496,151.3,4.09,ONLINE,PAID
5002156,84306035,149.7,2.99,STORE_DIRECT_PAYMENT,PAID
5270533,89318948,101.5,2.74,ONLINE,PAID
5019277,84692548,46.8,0.0,MEAL_BENEFIT,PAID
5027558,84846629,21.63,0.32,ONLINE,PAID
5198496,87835324,58.29,0.87,ONLINE,PAID
4532972,71949411,276.0,4.14,ONLINE,PAID
5158700,87237619,171.7,4.64,ONLINE,PAID
4574980,73284906,164.3,2.46,ONLINE,PAID
5078032,85789957,183.6,4.96,ONLINE,PAID
4623446,74708774,10.0,0.0,VOUCHER,PAID
